Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,JPYINR,1014414,FUTCUR,,,JPYINR,JPYINR27MAR26F,JPYINR 27th MAR26 FUT,2026-03-27,1,0.0025
BCD,bcs_fo,JPYINR,1019434,FUTCUR,,,JPYINR,JPYINR28APR26F,JPYINR 28th APR26 FUT,2026-04-28,1,0.0025
BCD,bcs_fo,JPYINR,1023498,FUTCUR,,,JPYINR,JPYINR27MAY26F,JPYINR 27th MAY26 FUT,2026-05-27,1,0.0025
BCD,bcs_fo,JPYINR,1027215,FUTCUR,,,JPYINR,JPYINR26JUN26F,JPYINR 26th JUN26 FUT,2026-06-26,1,0.0025
BCD,bcs_fo,JPYINR,1034661,FUTCUR,,,JPYINR,JPYINR29JUL26F,JPYINR 29th JUL26 FUT,2026-07-29,1,0.0025
BCD,bcs_fo,JPYINR,1038621,FUTCUR,,,JPYINR,JPYINR27AUG26F,JPYINR 27th AUG26 FUT,2026-08-27,1,0.0025
BCD,bcs_fo,JPYINR,1042495,FUTCUR,,,JPYINR,JPYINR28SEP26F,JPYINR 28th SEP26 FUT,2026-09-28,1,0.0025
BCD,bcs_fo,JPYINR,1046735,FUTCUR,,,JPYINR,JPYINR28OCT26F,JPYINR 28th OCT26 FUT,2026-10-28,1,0.0025
BCD,bcs_fo,JPYINR,1050586,FUTCUR,,,JPYINR,JPYINR26NOV26F,JPYINR 26th NOV26 FUT,2026-11-26,1,0.0025
BCD,bcs_fo,JPYINR,1051045,FUTCUR,,,JPYINR,JPYINR13FEB26F,JPYINR 13th FEB26 FUT,2026-02-13,1,0.0025
BCD,bcs_fo,JPYINR,1045567,FUTCUR,,,JPYINR,JPYINR02JAN26F,JPYINR 2nd JAN26 FUT,2026-01-02,1,0.0025
BCD,bcs_fo,JPYINR,1048885,FUTCUR,,,JPYINR,JPYINR30JAN26F,JPYINR 30th JAN26 FUT,2026-01-30,1,0.0025
BCD,bcs_fo,JPYINR,1049641,FUTCUR,,,JPYINR,JPYINR06FEB26F,JPYINR 6th FEB26 FUT,2026-02-06,1,0.0025
BCD,bcs_fo,JPYINR,1044600,FUTCUR,,,JPYINR,JPYINR26DEC25F,JPYINR 26th DEC FUT,2025-12-26,1,0.0025
BCD,bcs_fo,JPYINR,1054052,FUTCUR,,,JPYINR,JPYINR06MAR26F,JPYINR 6th MAR26 FUT,2026-03-06,1,0.0025
BCD,bcs_fo,JPYINR,1048277,FUTCUR,,,JPYINR,JPYINR23JAN26F,JPYINR 23rd JAN26 FUT,2026-01-23,1,0.0025
BCD,bcs_fo,JPYINR,1053097,FUTCUR,,,JPYINR,JPYINR27FEB26F,JPYINR 27th FEB26 FUT,2026-02-27,1,0.0025
BCD,bcs_fo,JPYINR,1047198,FUTCUR,,,JPYINR,JPYINR16JAN26F,JPYINR 16th JAN26 FUT,2026-01-16,1,0.0025
BCD,bcs_fo,JPYINR,1052487,FUTCUR,,,JPYINR,JPYINR20FEB26F,JPYINR 20th FEB26 FUT,2026-02-20,1,0.0025
BCD,bcs_fo,JPYINR,1046161,FUTCUR,,,JPYINR,JPYINR09JAN26F,JPYINR 9th JAN26 FUT,2026-01-09,1,0.0025
BCD,bcs_fo,USDINR,1044712,OPTCUR,CE,89.7,USDINR,USDINR26DEC25C89.7,USDINR 26th DEC 89.7 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044713,OPTCUR,PE,89.7,USDINR,USDINR26DEC25P89.7,USDINR 26th DEC 89.7 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044710,OPTCUR,CE,89.6,USDINR,USDINR26DEC25C89.6,USDINR 26th DEC 89.6 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044711,OPTCUR,PE,89.6,USDINR,USDINR26DEC25P89.6,USDINR 26th DEC 89.6 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2172015,OPTCUR,CE,89.5,USDINR,USDINR26DEC25C89.5,USDINR 26th DEC 89.5 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2171993,OPTCUR,PE,89.5,USDINR,USDINR26DEC25P89.5,USDINR 26th DEC 89.5 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044708,OPTCUR,CE,89.4,USDINR,USDINR26DEC25C89.4,USDINR 26th DEC 89.4 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044709,OPTCUR,PE,89.4,USDINR,USDINR26DEC25P89.4,USDINR 26th DEC 89.4 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044706,OPTCUR,CE,89.3,USDINR,USDINR26DEC25C89.3,USDINR 26th DEC 89.3 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044707,OPTCUR,PE,89.3,USDINR,USDINR26DEC25P89.3,USDINR 26th DEC 89.3 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044704,OPTCUR,CE,89.2,USDINR,USDINR26DEC25C89.2,USDINR 26th DEC 89.2 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044705,OPTCUR,PE,89.2,USDINR,USDINR26DEC25P89.2,USDINR 26th DEC 89.2 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044702,OPTCUR,CE,89.1,USDINR,USDINR26DEC25C89.1,USDINR 26th DEC 89.1 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044703,OPTCUR,PE,89.1,USDINR,USDINR26DEC25P89.1,USDINR 26th DEC 89.1 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2171937,OPTCUR,CE,89.0,USDINR,USDINR26DEC25C89.0,USDINR 26th DEC 89.0 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2171921,OPTCUR,PE,89.0,USDINR,USDINR26DEC25P89.0,USDINR 26th DEC 89.0 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044700,OPTCUR,CE,88.9,USDINR,USDINR26DEC25C88.9,USDINR 26th DEC 88.9 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044701,OPTCUR,PE,88.9,USDINR,USDINR26DEC25P88.9,USDINR 26th DEC 88.9 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044698,OPTCUR,CE,88.8,USDINR,USDINR26DEC25C88.8,USDINR 26th DEC 88.8 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044699,OPTCUR,PE,88.8,USDINR,USDINR26DEC25P88.8,USDINR 26th DEC 88.8 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044696,OPTCUR,CE,88.7,USDINR,USDINR26DEC25C88.7,USDINR 26th DEC 88.7 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044697,OPTCUR,PE,88.7,USDINR,USDINR26DEC25P88.7,USDINR 26th DEC 88.7 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044648,OPTCUR,CE,88.6,USDINR,USDINR26DEC25C88.6,USDINR 26th DEC 88.6 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044649,OPTCUR,PE,88.6,USDINR,USDINR26DEC25P88.6,USDINR 26th DEC 88.6 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2172720,OPTCUR,CE,88.5,USDINR,USDINR26DEC25C88.5,USDINR 26th DEC 88.5 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2172703,OPTCUR,PE,88.5,USDINR,USDINR26DEC25P88.5,USDINR 26th DEC 88.5 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044650,OPTCUR,CE,88.4,USDINR,USDINR26DEC25C88.4,USDINR 26th DEC 88.4 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044651,OPTCUR,PE,88.4,USDINR,USDINR26DEC25P88.4,USDINR 26th DEC 88.4 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044652,OPTCUR,CE,88.3,USDINR,USDINR26DEC25C88.3,USDINR 26th DEC 88.3 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044653,OPTCUR,PE,88.3,USDINR,USDINR26DEC25P88.3,USDINR 26th DEC 88.3 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044654,OPTCUR,CE,88.2,USDINR,USDINR26DEC25C88.2,USDINR 26th DEC 88.2 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044655,OPTCUR,PE,88.2,USDINR,USDINR26DEC25P88.2,USDINR 26th DEC 88.2 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044656,OPTCUR,CE,88.1,USDINR,USDINR26DEC25C88.1,USDINR 26th DEC 88.1 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044657,OPTCUR,PE,88.1,USDINR,USDINR26DEC25P88.1,USDINR 26th DEC 88.1 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2172673,OPTCUR,CE,88.0,USDINR,USDINR26DEC25C88.0,USDINR 26th DEC 88.0 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2172253,OPTCUR,PE,88.0,USDINR,USDINR26DEC25P88.0,USDINR 26th DEC 88.0 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044658,OPTCUR,CE,87.9,USDINR,USDINR26DEC25C87.9,USDINR 26th DEC 87.9 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044659,OPTCUR,PE,87.9,USDINR,USDINR26DEC25P87.9,USDINR 26th DEC 87.9 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044660,OPTCUR,CE,87.8,USDINR,USDINR26DEC25C87.8,USDINR 26th DEC 87.8 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044661,OPTCUR,PE,87.8,USDINR,USDINR26DEC25P87.8,USDINR 26th DEC 87.8 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044662,OPTCUR,CE,87.7,USDINR,USDINR26DEC25C87.7,USDINR 26th DEC 87.7 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044663,OPTCUR,PE,87.7,USDINR,USDINR26DEC25P87.7,USDINR 26th DEC 87.7 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044664,OPTCUR,CE,87.6,USDINR,USDINR26DEC25C87.6,USDINR 26th DEC 87.6 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044665,OPTCUR,PE,87.6,USDINR,USDINR26DEC25P87.6,USDINR 26th DEC 87.6 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2171934,OPTCUR,CE,87.5,USDINR,USDINR26DEC25C87.5,USDINR 26th DEC 87.5 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2171918,OPTCUR,PE,87.5,USDINR,USDINR26DEC25P87.5,USDINR 26th DEC 87.5 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044666,OPTCUR,CE,87.4,USDINR,USDINR26DEC25C87.4,USDINR 26th DEC 87.4 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044667,OPTCUR,PE,87.4,USDINR,USDINR26DEC25P87.4,USDINR 26th DEC 87.4 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044668,OPTCUR,CE,87.3,USDINR,USDINR26DEC25C87.3,USDINR 26th DEC 87.3 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044669,OPTCUR,PE,87.3,USDINR,USDINR26DEC25P87.3,USDINR 26th DEC 87.3 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044670,OPTCUR,CE,87.2,USDINR,USDINR26DEC25C87.2,USDINR 26th DEC 87.2 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044671,OPTCUR,PE,87.2,USDINR,USDINR26DEC25P87.2,USDINR 26th DEC 87.2 PE,2025-12-26,1,0.0025
